Actual,Error,Predicted,,
2699000,-8067.02474,-2707067.025,,-0.298889394
2698888,-6575.960985,-2705463.961,,-0.24365446
2695000,-8383.693421,-2703383.693,,-0.311083244
2695000,-6687.016863,-2701687.017,,-0.248126785
2695000,-8074.59951,-2703074.6,,-0.299614082
2695000,-8316.28843,-2703316.288,,-0.308582131
2695000,-7777.405391,-2702777.405,,-0.288586471
2695000,-8924.089236,-2703924.089,,-0.331135037
2695000,-6507.38312,-2701507.383,,-0.24146134
2695000,-8623.927469,-2703623.927,,-0.319997309
2695000,-8564.992538,-2703564.993,,-0.317810484
2689050,-6748.77752,-2695798.778,,-0.250972556
2688000,-8031.072194,-2696031.072,,-0.298775007
2680000,-7683.113377,-2687683.113,,-0.286683335
2680000,-7899.121833,-2687899.122,,-0.294743352
2675000,-8372.522969,-2683372.523,,-0.312991513
2672500,-6077.246665,-2678577.247,,-0.227399314
2650000,-6769.054628,-2656769.055,,-0.255436024
2650000,-8173.781396,-2658173.781,,-0.308444581
2635000,-6385.361968,-2641385.362,,-0.242328727
2600000,-6955.487203,-2606955.487,,-0.267518739
2600000,-8590.20924,-2608590.209,,-0.330392663
2600000,-7731.638667,-2607731.639,,-0.297370718
2599900,-7937.330976,-2607837.331,,-0.305293703
2599000,-7698.734612,-2606698.735,,-0.296219108
2599000,-8081.474241,-2607081.474,,-0.310945527
2599000,-7103.771249,-2606103.771,,-0.273327097
2595000,-6625.625419,-2601625.625,,-0.255322752
2595000,-7620.983767,-2602620.984,,-0.293679529
2594000,-8420.459339,-2602420.459,,-0.324612927
2588000,-7892.224564,-2595892.225,,-0.304954581
2588000,-7920.554771,-2595920.555,,-0.306049257
2588000,-7820.790192,-2595820.79,,-0.302194366
2575000,-8605.755614,-2583605.756,,-0.334204102
2500000,-6599.46848,-2506599.468,,-0.263978739
2500000,-9070.509327,-2509070.509,,-0.362820373
2500000,-5453.939675,-2505453.94,,-0.218157587
2500000,-6599.46848,-2506599.468,,-0.263978739
2500000,-8227.511562,-2508227.512,,-0.329100462
2499999,-7170.368881,-2507169.369,,-0.28681487
2499500,-7416.348772,-2506916.349,,-0.296713294
2499000,-7274.43535,-2506274.435,,-0.291093852
2499000,-7929.753629,-2506929.754,,-0.317317072
2499000,-7602.746262,-2506602.746,,-0.304231543
2499000,-7143.877964,-2506143.878,,-0.285869466
2499000,-5135.185388,-2504135.185,,-0.205489611
2499000,-7598.950542,-2506598.951,,-0.304079654
2499000,-8530.282909,-2507530.283,,-0.341347856
2498888,-6995.709217,-2505883.709,,-0.279952892
2498000,-7872.158245,-2505872.158,,-0.315138441
2498000,-7201.881508,-2505201.882,,-0.288305905
2498000,-7598.484979,-2505598.485,,-0.304182745
2496000,-6875.845982,-2502875.846,,-0.275474599
2495000,-8078.934254,-2503078.934,,-0.32380498
2495000,-7676.699448,-2502676.699,,-0.307683345
2495000,-8504.787789,-2503504.788,,-0.340873258
2495000,-7242.09437,-2502242.094,,-0.290264303
2495000,-7271.309194,-2502271.309,,-0.291435238
2495000,-7438.561895,-2502438.562,,-0.298138753
2495000,-8461.2843,-2503461.284,,-0.339129631
2495000,-8021.20141,-2503021.201,,-0.321491038
2495000,-7324.067918,-2502324.068,,-0.293549816
2495000,-6420.45955,-2501420.46,,-0.257333048
2495000,-6420.258414,-2501420.258,,-0.257324987
2495000,-7008.318496,-2502008.318,,-0.280894529
2495000,-7321.075343,-2502321.075,,-0.293429873
2495000,-7699.551261,-2502699.551,,-0.308599249
2495000,-7641.659796,-2502641.66,,-0.30627895
2495000,-8003.582541,-2503003.583,,-0.320784871
2495000,-8082.324232,-2503082.324,,-0.323940851
2495000,-7802.135603,-2502802.136,,-0.312710846
2495000,-8608.597164,-2503608.597,,-0.345033954
2490000,-7525.215156,-2497525.215,,-0.302217476
2489000,-8088.409947,-2497088.41,,-0.324966249
2489000,-8088.409947,-2497088.41,,-0.324966249
2489000,-7901.120354,-2496901.12,,-0.317441557
2489000,-8628.583679,-2497628.584,,-0.346668689
2489000,-8779.174331,-2497779.174,,-0.352718937
2480000,-6581.257777,-2486581.258,,-0.265373297
2480000,-8890.303162,-2488890.303,,-0.358479966
2475000,-7507.395257,-2482507.395,,-0.303329101
2450000,-5930.397619,-2455930.398,,-0.242057046
2450000,-6484.664584,-2456484.665,,-0.264680187
2450000,-6835.404181,-2456835.404,,-0.278996089
2450000,-7499.705337,-2457499.705,,-0.306110422
2450000,-5204.008319,-2455204.008,,-0.212408503
2400000,-8458.500249,-2408458.5,,-0.35243751
2400000,-6785.078159,-2406785.078,,-0.28271159
2399999,-8562.497416,-2408561.497,,-0.356770874
2399000,-7714.48593,-2406714.486,,-0.321570902
2399000,-7493.744312,-2406493.744,,-0.3123695
2399000,-7524.614271,-2406524.614,,-0.313656285
2399000,-7551.445554,-2406551.446,,-0.314774721
2399000,-6660.039429,-2405660.039,,-0.277617317
2399000,-5947.102719,-2404947.103,,-0.247899238
2399000,-5947.102719,-2404947.103,,-0.247899238
2398000,-8945.932864,-2406945.933,,-0.373058084
2395000,-8777.340049,-2403777.34,,-0.366486015
2395000,-8115.353848,-2403115.354,,-0.338845672
2395000,-9000.758667,-2404000.759,,-0.375814558
2395000,-6524.995061,-2401524.995,,-0.272442383
2395000,-8006.410411,-2403006.41,,-0.334296886
2395000,-8346.137191,-2403346.137,,-0.34848172
2395000,-7424.559622,-2402424.56,,-0.310002489
2395000,-7120.587375,-2402120.587,,-0.297310538
2395000,-8054.000167,-2403054,,-0.336283932
2390000,-6904.656423,-2396904.656,,-0.288897758
2388000,-7857.945183,-2395857.945,,-0.329059681
2388000,-8081.331257,-2396081.331,,-0.338414207
2388000,-7652.151236,-2395652.151,,-0.320441844
2388000,-8373.055262,-2396373.055,,-0.350630455
2388000,-8238.393239,-2396238.393,,-0.344991342
2388000,-7114.218022,-2395114.218,,-0.297915328
2385000,-8652.233295,-2393652.233,,-0.362777077
2380000,-8236.418611,-2388236.419,,-0.346068009
2380000,-8236.679976,-2388236.68,,-0.346078991
2375000,-7985.135831,-2382985.136,,-0.336216245
2375000,-6332.294925,-2381332.295,,-0.266622944
2360000,-8187.764611,-2368187.765,,-0.346939178
2350000,-8043.084914,-2358043.085,,-0.342258933
2350000,-8312.854898,-2358312.855,,-0.353738506
2350000,-8629.784368,-2358629.784,,-0.367224867
2349000,-7759.845254,-2356759.845,,-0.330346754
2348000,-6292.993943,-2354292.994,,-0.268015074
2329000,-8509.597028,-2337509.597,,-0.36537557
2324999,-7509.057951,-2332508.058,,-0.322970373
2320000,-6976.877945,-2326976.878,,-0.300727498
2300888,-8481.236025,-2309369.236,,-0.368607078
2300888,-8481.034889,-2309369.035,,-0.368598336
2300000,-6988.959792,-2306988.96,,-0.303867817
2300000,-7490.888487,-2307490.888,,-0.325690804
2300000,-8266.870506,-2308266.871,,-0.359429152
2300000,-6465.12412,-2306465.124,,-0.281092353
2300000,-8933.04978,-2308933.05,,-0.388393469
2299999,-7546.014652,-2307545.015,,-0.328087736
2299000,-6711.337354,-2305711.337,,-0.2919242
2299000,-9104.006736,-2308104.007,,-0.395998553
2299000,-8398.801508,-2307398.802,,-0.36532412
2299000,-6235.710523,-2305235.711,,-0.271235777
2295000,-8442.886669,-2303442.887,,-0.367881772
2295000,-8498.757891,-2303498.758,,-0.370316248
2295000,-8498.757891,-2303498.758,,-0.370316248
2290000,-7232.846209,-2297232.846,,-0.315844813
2290000,-7289.693082,-2297289.693,,-0.318327209
2289800,-6855.646558,-2296655.647,,-0.299399361
2288000,-6563.037042,-2294563.037,,-0.286846025
2288000,-7038.749586,-2295038.75,,-0.307637657
2285000,-8450.76342,-2293450.763,,-0.369836474
2280000,-8066.571996,-2288066.572,,-0.353797017
2280000,-7617.712305,-2287617.712,,-0.334110189
2280000,-8616.643321,-2288616.643,,-0.377922953
2275000,-8896.631845,-2283896.632,,-0.39106074
2275000,-7270.443741,-2282270.444,,-0.319579945
2259000,-8539.56261,-2267539.563,,-0.37802402
2250000,-7987.974055,-2257987.974,,-0.355021069
2250000,-5693.660347,-2255693.66,,-0.253051571
2250000,-8098.719147,-2258098.719,,-0.359943073
2249800,-7676.934553,-2257476.935,,-0.341227423
2249000,-7704.803583,-2256704.804,,-0.342587976
2249000,-8819.470723,-2257819.471,,-0.392150766
2243000,-8420.459339,-2251420.459,,-0.375410581
2235000,-8897.844256,-2243897.844,,-0.398113837
2219000,-8562.481727,-2227562.482,,-0.385871191
2200000,-8546.861389,-2208546.861,,-0.388493699
2200000,-3818.112307,-2203818.112,,-0.173550559
2200000,-8069.989015,-2208069.989,,-0.366817682
2200000,-8353.178709,-2208353.179,,-0.379689941
2200000,-6451.29228,-2206451.292,,-0.293240558
2199880,-9411.922753,-2209291.923,,-0.427838007
2199000,-8055.945773,-2207055.946,,-0.366345874
2199000,-8476.096788,-2207476.097,,-0.385452332
2199000,-6617.108268,-2205617.108,,-0.300914428
2199000,-7204.840443,-2206204.84,,-0.327641675
2199000,-7012.578126,-2206012.578,,-0.318898505
2199000,-7012.578126,-2206012.578,,-0.318898505
2199000,-6742.293508,-2205742.294,,-0.306607254
2199000,-7281.543955,-2206281.544,,-0.331129784
2198888,-6892.72189,-2205780.722,,-0.313463982
2195000,-9148.455662,-2204148.456,,-0.416786135
2195000,-6629.859871,-2201629.86,,-0.30204373
2195000,-6499.395861,-2201499.396,,-0.296100039
2195000,-5855.994601,-2200855.995,,-0.266787909
2195000,-9107.362877,-2204107.363,,-0.414914026
2190000,-7837.488508,-2197837.489,,-0.357876188
2190000,-7301.300701,-2197301.301,,-0.333392726
2189000,-6955.078567,-2195955.079,,-0.317728578
2188000,-6511.683688,-2194511.684,,-0.297608944
2188000,-7891.310177,-2195891.31,,-0.360663171
2188000,-9173.512652,-2197173.513,,-0.419264746
2182900,-7543.128402,-2190443.128,,-0.345555381
2175000,-8158.4383,-2183158.438,,-0.375100611
2175000,-8606.472464,-2183606.472,,-0.395699883
2175000,-8376.182226,-2183376.182,,-0.385111826
2175000,-8604.630398,-2183604.63,,-0.395615191
2150000,-8741.655264,-2158741.655,,-0.406588617
2150000,-8388.09588,-2158388.096,,-0.390143994
2150000,-7450.264242,-2157450.264,,-0.346523918
2150000,-7681.462654,-2157681.463,,-0.357277333
2150000,-6787.260522,-2156787.261,,-0.315686536
2150000,-7793.633156,-2157793.633,,-0.362494565
2150000,-7729.901776,-2157729.902,,-0.359530315
2150000,-7813.052101,-2157813.052,,-0.363397772
2150000,-7813.052101,-2157813.052,,-0.363397772
2150000,-8078.13658,-2158078.137,,-0.375727283
2150000,-7941.81331,-2157941.813,,-0.369386666
2150000,-8502.863604,-2158502.864,,-0.395482028
2150000,-8494.187644,-2158494.188,,-0.395078495
2149000,-7428.596829,-2156428.597,,-0.345676912
